time,asofdate,pointForecast,close,forecastday,product_name,MA_50,MA_diff_50
1971-01-06 01:00:00+00:00,1971-01-06 01:00:00+00:00,157.35741520603676,156.875,1,corn,150.49,0.19750000000001933
1971-01-07 01:00:00+00:00,1971-01-07 01:00:00+00:00,156.99868642562265,155.75,2,corn,150.5925,0.10249999999999204
1971-01-08 01:00:00+00:00,1971-01-08 01:00:00+00:00,156.9058010174597,157.125,3,corn,150.7375,0.14500000000001023
1971-01-11 01:00:00+00:00,1971-01-11 01:00:00+00:00,157.06751196298504,156.875,4,corn,150.8825,0.1449999999999818
1971-01-12 01:00:00+00:00,1971-01-12 01:00:00+00:00,157.0991628692883,156.5,5,corn,151.0775,0.19499999999999318
1971-01-13 01:00:00+00:00,1971-01-13 01:00:00+00:00,156.86937116390104,156.125,1,corn,151.3075,0.2300000000000182
1971-01-14 01:00:00+00:00,1971-01-14 01:00:00+00:00,156.39979386709794,157.125,2,corn,151.5325,0.22499999999999432
1971-01-15 01:00:00+00:00,1971-01-15 01:00:00+00:00,156.58779100523026,157.5,3,corn,151.73,0.1974999999999909
1971-01-18 01:00:00+00:00,1971-01-18 01:00:00+00:00,156.77595780739588,156.625,4,corn,151.87,0.14000000000001478
1971-01-19 01:00:00+00:00,1971-01-19 01:00:00+00:00,156.6792021380659,156.875,5,corn,151.98,0.10999999999998522
1971-01-20 01:00:00+00:00,1971-01-20 01:00:00+00:00,156.75811078116865,157.125,1,corn,152.1425,0.16250000000002274
1971-01-21 01:00:00+00:00,1971-01-21 01:00:00+00:00,156.87740820574996,156.625,2,corn,152.2925,0.14999999999997726
1971-01-22 01:00:00+00:00,1971-01-22 01:00:00+00:00,157.1577684063653,157.25,3,corn,152.4725,0.18000000000000682
1971-01-25 01:00:00+00:00,1971-01-25 01:00:00+00:00,157.08308006968167,155.0,4,corn,152.615,0.1425000000000125
1971-01-26 01:00:00+00:00,1971-01-26 01:00:00+00:00,156.97078608613486,155.125,5,corn,152.765,0.14999999999997726
1971-01-27 01:00:00+00:00,1971-01-27 01:00:00+00:00,154.95528828221234,154.125,1,corn,152.8925,0.12750000000002615
1971-01-28 01:00:00+00:00,1971-01-28 01:00:00+00:00,155.195542399035,153.125,2,corn,153.05,0.15749999999999886
1971-01-29 01:00:00+00:00,1971-01-29 01:00:00+00:00,155.41945095544258,153.875,3,corn,153.21,0.1599999999999966
1971-02-01 01:00:00+00:00,1971-02-01 01:00:00+00:00,155.29387640839948,153.125,4,corn,153.3775,0.16749999999998977
1971-02-02 01:00:00+00:00,1971-02-02 01:00:00+00:00,155.22045368044024,154.25,5,corn,153.5575,0.18000000000000682
1971-02-03 01:00:00+00:00,1971-02-03 01:00:00+00:00,154.28116408852202,153.5,1,corn,153.7275,0.1699999999999875
1971-02-04 01:00:00+00:00,1971-02-04 01:00:00+00:00,154.49785331119023,154.0,2,corn,153.905,0.1775000000000091
1971-02-05 01:00:00+00:00,1971-02-05 01:00:00+00:00,154.43106651823103,153.625,3,corn,154.0775,0.17249999999998522
1971-02-08 01:00:00+00:00,1971-02-08 01:00:00+00:00,154.35432769114448,154.25,4,corn,154.2825,0.2050000000000125
1971-02-09 01:00:00+00:00,1971-02-09 01:00:00+00:00,154.3888247810218,153.0,5,corn,154.445,0.16249999999999432
1971-02-10 01:00:00+00:00,1971-02-10 01:00:00+00:00,153.37891040712262,153.125,1,corn,154.5875,0.1425000000000125
1971-02-11 01:00:00+00:00,1971-02-11 01:00:00+00:00,152.93607364793328,152.75,2,corn,154.6775,0.09000000000000341
1971-02-12 01:00:00+00:00,1971-02-12 01:00:00+00:00,153.07869193540233,152.5,3,corn,154.7775,0.09999999999999432
1971-02-16 01:00:00+00:00,1971-02-16 01:00:00+00:00,153.23097010775194,151.125,4,corn,154.81,0.03249999999999886
1971-02-17 01:00:00+00:00,1971-02-17 01:00:00+00:00,153.160525802922,150.875,5,corn,154.815,0.0049999999999954525
1971-02-18 01:00:00+00:00,1971-02-18 01:00:00+00:00,150.7758670902063,151.375,1,corn,154.745,-0.06999999999999318
1971-02-19 01:00:00+00:00,1971-02-19 01:00:00+00:00,150.87943433223322,151.75,2,corn,154.7,-0.045000000000015916
1971-02-22 01:00:00+00:00,1971-02-22 01:00:00+00:00,151.09818043302732,151.25,3,corn,154.6525,-0.04749999999998522
1971-02-23 01:00:00+00:00,1971-02-23 01:00:00+00:00,151.03958785075747,150.75,4,corn,154.6275,-0.025000000000005684
1971-02-24 01:00:00+00:00,1971-02-24 01:00:00+00:00,150.96234756430573,149.25,5,corn,154.5475,-0.07999999999998408
1971-02-25 01:00:00+00:00,1971-02-25 01:00:00+00:00,149.3239257409663,149.375,1,corn,154.4775,-0.0700000000000216
1971-02-26 01:00:00+00:00,1971-02-26 01:00:00+00:00,149.1657833154789,149.5,2,corn,154.3775,-0.09999999999999432
1971-03-01 01:00:00+00:00,1971-03-01 01:00:00+00:00,149.39980483675555,149.375,3,corn,154.2525,-0.125
1971-03-02 01:00:00+00:00,1971-03-02 01:00:00+00:00,149.44384786504105,151.875,4,corn,154.1975,-0.05500000000000682
1971-03-03 01:00:00+00:00,1971-03-03 01:00:00+00:00,149.3512544540341,152.125,5,corn,154.1375,-0.060000000000002274
1971-03-04 01:00:00+00:00,1971-03-04 01:00:00+00:00,152.55305242784212,151.75,1,corn,154.1125,-0.024999999999977263
1971-03-05 01:00:00+00:00,1971-03-05 01:00:00+00:00,152.43998064821648,151.875,2,corn,154.05,-0.0625
1971-03-08 01:00:00+00:00,1971-03-08 01:00:00+00:00,152.14246604773572,154.125,3,corn,154.0475,-0.0024999999999977263
1971-03-09 01:00:00+00:00,1971-03-09 01:00:00+00:00,152.2015809723639,153.625,4,corn,153.99,-0.05750000000000455
1971-03-10 01:00:00+00:00,1971-03-10 01:00:00+00:00,152.3147128084531,153.875,5,corn,153.95,-0.040000000000020464
1971-03-11 01:00:00+00:00,1971-03-11 01:00:00+00:00,154.14995226596554,153.375,1,corn,153.905,-0.044999999999987494
1971-03-12 01:00:00+00:00,1971-03-12 01:00:00+00:00,153.73722180014738,152.875,2,corn,153.8625,-0.04249999999998977
1971-03-15 01:00:00+00:00,1971-03-15 01:00:00+00:00,153.97082906497104,153.125,3,corn,153.815,-0.04750000000001364
1971-03-16 01:00:00+00:00,1971-03-16 01:00:00+00:00,154.12244565628885,153.5,4,corn,153.7475,-0.06749999999999545
1971-03-17 01:00:00+00:00,1971-03-17 01:00:00+00:00,154.02240614376737,150.625,5,corn,153.6225,-0.125
1971-03-18 01:00:00+00:00,1971-03-18 01:00:00+00:00,151.12925665929333,149.875,1,corn,153.4825,-0.14000000000001478
1971-03-19 01:00:00+00:00,1971-03-19 01:00:00+00:00,150.22699378221702,149.25,2,corn,153.3525,-0.12999999999999545
1971-03-22 01:00:00+00:00,1971-03-22 01:00:00+00:00,150.65605072533668,148.375,3,corn,153.1775,-0.17499999999998295
1971-03-23 01:00:00+00:00,1971-03-23 01:00:00+00:00,150.95184021177965,147.875,4,corn,152.9975,-0.18000000000000682
1971-03-24 01:00:00+00:00,1971-03-24 01:00:00+00:00,150.75302209324312,149.125,5,corn,152.85,-0.14750000000000796
1971-03-25 01:00:00+00:00,1971-03-25 01:00:00+00:00,148.91688693437715,148.375,1,corn,152.695,-0.15500000000000114
1971-03-26 01:00:00+00:00,1971-03-26 01:00:00+00:00,149.41782631993203,148.375,2,corn,152.52,-0.17499999999998295
1971-03-29 01:00:00+00:00,1971-03-29 01:00:00+00:00,149.3509319102119,147.875,3,corn,152.3275,-0.19250000000002387
1971-03-30 01:00:00+00:00,1971-03-30 01:00:00+00:00,149.1656177970373,146.375,4,corn,152.1225,-0.20499999999998408
1971-03-31 01:00:00+00:00,1971-03-31 01:00:00+00:00,149.20552533642586,146.125,5,corn,151.9075,-0.2150000000000034
1971-04-01 01:00:00+00:00,1971-04-01 01:00:00+00:00,146.0497598160901,146.25,1,corn,151.69,-0.21750000000000114
1971-04-02 01:00:00+00:00,1971-04-02 01:00:00+00:00,146.15813241375957,147.125,2,corn,151.5,-0.18999999999999773
1971-04-05 01:00:00+00:00,1971-04-05 01:00:00+00:00,146.29391549686585,146.125,3,corn,151.2775,-0.2224999999999966
1971-04-06 01:00:00+00:00,1971-04-06 01:00:00+00:00,146.23889821323365,146.625,4,corn,151.11,-0.16749999999998977
1971-04-07 01:00:00+00:00,1971-04-07 01:00:00+00:00,146.19171699320052,146.25,5,corn,150.9325,-0.1775000000000091
1971-04-08 01:00:00+00:00,1971-04-08 01:00:00+00:00,146.29480593112856,146.875,1,corn,150.7875,-0.14500000000001023
1971-04-12 01:00:00+00:00,1971-04-12 01:00:00+00:00,146.38945198149509,149.25,2,corn,150.71,-0.07749999999998636
1971-04-13 01:00:00+00:00,1971-04-13 01:00:00+00:00,146.35471883548624,148.5,3,corn,150.6025,-0.10750000000001592
1971-04-14 01:00:00+00:00,1971-04-14 01:00:00+00:00,146.32193285775148,149.625,4,corn,150.5325,-0.06999999999999318
1971-04-15 01:00:00+00:00,1971-04-15 01:00:00+00:00,146.3380585838871,149.25,5,corn,150.4325,-0.09999999999999432
1971-04-16 01:00:00+00:00,1971-04-16 01:00:00+00:00,149.2993469287057,147.0,1,corn,150.3025,-0.12999999999999545
1971-04-19 01:00:00+00:00,1971-04-19 01:00:00+00:00,149.36515951522787,146.875,2,corn,150.16,-0.1425000000000125
1971-04-20 01:00:00+00:00,1971-04-20 01:00:00+00:00,149.37031473595476,146.625,3,corn,150.02,-0.13999999999998636
1971-04-21 01:00:00+00:00,1971-04-21 01:00:00+00:00,149.3443480074505,146.5,4,corn,149.865,-0.15500000000000114
1971-04-22 01:00:00+00:00,1971-04-22 01:00:00+00:00,149.34408860819605,146.5,5,corn,149.735,-0.12999999999999545
1971-04-23 01:00:00+00:00,1971-04-23 01:00:00+00:00,146.67046026591842,143.5,1,corn,149.5425,-0.19250000000002387
1971-04-26 00:00:00+00:00,1971-04-26 00:00:00+00:00,146.48782309927725,141.25,2,corn,149.3125,-0.22999999999998977
1971-04-27 00:00:00+00:00,1971-04-27 00:00:00+00:00,146.56155932386497,142.125,3,corn,149.105,-0.20750000000001023
1971-04-28 00:00:00+00:00,1971-04-28 00:00:00+00:00,146.63143275760007,141.375,4,corn,148.91,-0.19499999999999318
1971-04-29 00:00:00+00:00,1971-04-29 00:00:00+00:00,146.59959928830108,141.5,5,corn,148.7225,-0.1875
1971-04-30 00:00:00+00:00,1971-04-30 00:00:00+00:00,141.78294949724963,143.125,1,corn,148.5575,-0.16499999999999204
1971-05-03 00:00:00+00:00,1971-05-03 00:00:00+00:00,141.34613704139645,143.5,2,corn,148.3925,-0.16499999999999204
1971-05-04 00:00:00+00:00,1971-05-04 00:00:00+00:00,141.47714399763757,141.75,3,corn,148.2025,-0.19000000000002615
1971-05-05 00:00:00+00:00,1971-05-05 00:00:00+00:00,141.64405321664643,143.625,4,corn,148.06,-0.14249999999998408
1971-05-06 00:00:00+00:00,1971-05-06 00:00:00+00:00,141.5836295310055,144.75,5,corn,147.97,-0.09000000000000341
1971-05-07 00:00:00+00:00,1971-05-07 00:00:00+00:00,144.7007269161898,143.75,1,corn,147.8575,-0.11250000000001137
1971-05-10 00:00:00+00:00,1971-05-10 00:00:00+00:00,145.28049951541132,143.125,2,corn,147.73,-0.12749999999999773
1971-05-11 00:00:00+00:00,1971-05-11 00:00:00+00:00,144.89200800024224,143.125,3,corn,147.605,-0.125
1971-05-12 00:00:00+00:00,1971-05-12 00:00:00+00:00,144.61196915580825,144.125,4,corn,147.45,-0.15500000000000114
1971-05-13 00:00:00+00:00,1971-05-13 00:00:00+00:00,144.78077849433052,143.875,5,corn,147.285,-0.16499999999999204
1971-05-14 00:00:00+00:00,1971-05-14 00:00:00+00:00,144.37881444994994,145.0,1,corn,147.15,-0.1349999999999909
1971-05-17 00:00:00+00:00,1971-05-17 00:00:00+00:00,144.02962042669913,145.625,2,corn,147.025,-0.125
1971-05-18 00:00:00+00:00,1971-05-18 00:00:00+00:00,143.73006852660737,144.25,3,corn,146.8275,-0.19750000000001933
1971-05-19 00:00:00+00:00,1971-05-19 00:00:00+00:00,143.88372651726243,144.375,4,corn,146.6425,-0.18499999999997385
1971-05-20 00:00:00+00:00,1971-05-20 00:00:00+00:00,144.03465035799874,144.75,5,corn,146.46,-0.18250000000000455
1971-05-21 00:00:00+00:00,1971-05-21 00:00:00+00:00,144.66628735330025,146.25,1,corn,146.3175,-0.1425000000000125
1971-05-24 00:00:00+00:00,1971-05-24 00:00:00+00:00,144.93233562433358,145.75,2,corn,146.175,-0.14249999999998408
1971-05-25 00:00:00+00:00,1971-05-25 00:00:00+00:00,144.89920962391741,147.75,3,corn,146.0675,-0.10750000000001592
1971-05-26 00:00:00+00:00,1971-05-26 00:00:00+00:00,144.76552832595556,148.0,4,corn,145.9575,-0.10999999999998522
1971-05-27 00:00:00+00:00,1971-05-27 00:00:00+00:00,144.77558383603542,148.875,5,corn,145.9225,-0.03499999999999659
1971-05-28 00:00:00+00:00,1971-05-28 00:00:00+00:00,149.04999836154806,149.875,1,corn,145.9225,0.0
1971-06-01 00:00:00+00:00,1971-06-01 00:00:00+00:00,149.09067344475932,149.875,2,corn,145.935,0.012499999999988631
1971-06-02 00:00:00+00:00,1971-06-02 00:00:00+00:00,148.91859930771076,148.75,3,corn,145.9425,0.007499999999993179
1971-06-03 00:00:00+00:00,1971-06-03 00:00:00+00:00,148.88862908080614,150.875,4,corn,146.0025,0.060000000000002274
1971-06-04 00:00:00+00:00,1971-06-04 00:00:00+00:00,148.97481151679585,151.0,5,corn,146.04,0.037499999999994316
